college_code,college_name_canonical,canonical_from_year,n_variants,other_variants,years_present
SVCK,SRI VENKATESWARA COLLEGE OF ENGINEERING,2024,1,,"2022,2023,2024"
SVCN,SREE VENKATESWARA COLL OF ENGG,2025,1,,"2022,2023,2024,2025"
SVCP,SRI VENKATESWARA COLLEGE OF PHARMACY,2024,1,,"2022,2024"
SVCS,SREE VENKATESWARA COLLEGE OF SCIENCE AND TECHNOLOGY,2023,1,,2023
SVCT,SRI VENKATESWARA COLLEGE OF ENGG. AND TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
SVEN,SREE VENKATESWARA ENGINEERING COLLEGE,2023,1,,2023
SVEP,S.V COLLEGE OF ENGINEERING,2025,1,,"2024,2025"
SVET,SRI VASAVI INSTT OF ENGINEERING AND TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
SVHE,YJR DMS COLLEGE OF ENGINEERING,2025,2,D M S S V H COLLEGE OF ENGINEERING,"2022,2023,2024,2025"
SVIK,SRI VENKATESWARA INST. OF SCIENCE AND TECHNOLOGY,2025,2,SRI VENKATESWARA INSTT. OF SCIENCE AND TECHNOLOGY,"2022,2023,2024,2025"
SVIT,SRI VENKATESWARA INST OF TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
SVPC,SREE VENKATESWARA PHARMACY COLLEGE,2023,1,,2023
SVPP,SRI VENKATESA PERUMAL COLLEGE OF ENGG. AND TECH,2025,1,,"2022,2023,2024,2025"
SVUC,S V U COLLEGE OF ENGG. TIRUPATHI,2025,1,,"2022,2023,2024,2025"
SVUCSS,S V U COLLEGE OF ENGG. -SELF SUPPORTING-TIRUPATHI,2025,1,,"2022,2023,2024,2025"
SVUPSF,S V UNIVERSITY COLLEGE OF SCIENCES- SELF FINANCE,2025,2,S V UNIVERSITY COLLEGE OF SCIENCES-SELF FINANCE,"2023,2025"
SWRN,SWARNANDHRA COLL. OF ENGG AND TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
TECH,TADIPATRI ENGG COLLEGE,2025,1,,"2022,2023,2024,2025"
TMLN,TIRUMALA ENGINEERING COLLEGE,2025,1,,"2022,2023,2024,2025"
UNIV,UNIVERSAL COLLEGE OF ENGG AND TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
URCE,USHA RAMA COLL OF ENGG AND TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
VCPG,VAGDEVI COLLEGE OF PHARMACY,2024,1,,"2022,2023,2024"
VCTN,VIKAS COLLEGE OF ENGINEERING AND TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
VEDA,VEDA COLLEGE OF PHARMACY,2023,1,,2023
VEMU,VEMU COLLEGE OF PHARMACY AND HEALTH SCIENCES,2025,2,VEMU INSTITUTE OF TECHNOLOGY,"2022,2023,2024,2025"
VETS,SR VENKATESWARA COLL OF ENGINEERING,2025,1,,"2022,2023,2024,2025"
VGTN,VIKAS GROUP OF INSTITUTIONS,2025,1,,"2022,2023,2024,2025"
VHNI,SREE VAHINI INSTT OF SCIENCE AND TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
VICG,VICTORIA COLLEGE OF PHARMACY,2022,1,,2022
VIEW,VIGNANS INSTT OF ENGINEERING FOR WOMEN,2025,1,,"2022,2023,2024,2025"
VIPV,VIGNAN INST.OF PHARM.,2025,1,,"2022,2023,2025"
VIPW,VIJAYA INST OF PHARM SCI FOR WOMEN,2023,1,,"2022,2023"
VISM,VISWAM ENGINEERING COLLEGE,2025,1,,"2022,2023,2024,2025"
VISW,SHRI VISHNU ENGG. COLLEGE FOR WOMEN,2025,1,,"2022,2023,2024,2025"
VITAPU,VIT-AP UNIVERSITY,2025,1,,"2022,2023,2024,2025"
VITAPUMT,VIT-AP UNIVERSITY-5 YEAR INTEGRATED MTECH,2025,1,,"2022,2023,2024,2025"
VITB,VISHNU GRP OF INSTNS - VISHNU INST OF TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
VITK,P B R VISVODAYA INSTITUTE OF TECHNOLOGY AND SCI.,2025,1,,"2022,2023,2024,2025"
VITS,VAAGDEVI INSTITUTE OF TECHNOLOGY. AND SCI.,2024,1,,"2022,2023,2024"
VITW,VIJAYA INST. OF TECHNOLOGY FOR WOMEN,2025,1,,"2022,2023,2024,2025"
VIVP,VIGNANS INSTITUTE OF INFORMATION TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
VJAM,VIJAYAM INSTITUTE OF TECHNOLOGY,2025,1,,"2024,2025"
VJCP,V JS COLLEGE OF PHARMACY,2023,1,,"2022,2023"
VKSR,VIKAS INST. OF PHARM.SCI.,2023,1,,"2022,2023"
VLIT,VIGNANS LARA INST. OF TECHNOLOGY AND SCI,2025,1,,"2022,2023,2024,2025"
VNCP,SRIVIDYA NIKETHAN COLLEGE OF PHARMACY,2022,1,,2022
VNIP,VISWANATHA INST OF PHARM SCI,2024,1,,2024
VNIW,VIGNANS NIRULA INST OF TECH. AND SCI FOR WOMEN,2025,1,,"2022,2023,2024,2025"
VNKS,SRI VENKATESWARA COLLEGE OF PHARMACY,2025,1,,"2022,2023,2025"
VNRC,VELAGA NAGESWARA RAO COLL OF ENGINEERING,2025,1,,"2023,2024,2025"
VPCV,VIGNAN PHARMACY COLLEGE,2025,1,,"2022,2023,2024,2025"
VRIT,VARAPRASAD REDDY INST OF TECHNOLOGY,2024,1,,"2022,2023,2024"
VRSE,V R SIDDHARTHA ENGINEERING COLLEGE,2023,1,,"2022,2023"
VRSP,K V S R SIDDHARTHA COLLEGE OF PHARMACEUTICAL SCI.S,2025,1,,"2022,2023,2024,2025"
VSMR,V.S.M COLLEGE OF ENGINEERING,2025,1,,"2022,2023,2024,2025"
VSPT,VISAKHA INST OF ENGG AND TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
VSVP,SRI VASAVI INST. OF PHARM. SCI.,2023,1,,"2022,2023"
VSVT,SRI VASAVI ENGINEERING COLLEGE,2025,1,,"2022,2023,2024,2025"
